" <$30,000","2538","0.24204"
"$30,000 - $44,999","952","0.090788"
"$45,000 - $59,999","631","0.060175"
"$60,000 - $99,999","1866","0.17795"
"$100,000 - $124,999","1313","0.12521"
"$125,000 - $149,999","709","0.067614"
"$150,000 - $199,999","1050","0.10013"
" >$200,000","1427","0.13609"
